id,member_id,date,activity,status,remark
1,2,2025-12-11,ประชุมสภานักเรียน,present,
2,3,2025-12-11,ประชุมสภานักเรียน,present,
3,4,2025-12-11,ประชุมสภานักเรียน,present,
4,5,2025-12-11,ประชุมสภานักเรียน,present,
5,6,2025-12-11,ประชุมสภานักเรียน,present,
6,8,2025-12-11,ประชุมสภานักเรียน,present,
7,9,2025-12-11,ประชุมสภานักเรียน,present,
8,10,2025-12-11,ประชุมสภานักเรียน,present,
9,11,2025-12-11,ประชุมสภานักเรียน,present,
10,12,2025-12-11,ประชุมสภานักเรียน,present,
11,13,2025-12-11,ประชุมสภานักเรียน,present,
12,14,2025-12-11,ประชุมสภานักเรียน,present,
13,15,2025-12-11,ประชุมสภานักเรียน,present,
14,16,2025-12-11,ประชุมสภานักเรียน,present,
15,17,2025-12-11,ประชุมสภานักเรียน,present,
16,18,2025-12-11,ประชุมสภานักเรียน,present,
17,19,2025-12-11,ประชุมสภานักเรียน,present,
18,21,2025-12-11,ประชุมสภานักเรียน,present,
19,22,2025-12-11,ประชุมสภานักเรียน,present,
20,25,2025-12-11,ประชุมสภานักเรียน,present,
21,26,2025-12-11,ประชุมสภานักเรียน,present,
22,27,2025-12-11,ประชุมสภานักเรียน,present,
23,28,2025-12-11,ประชุมสภานักเรียน,present,
24,30,2025-12-11,ประชุมสภานักเรียน,present,
25,31,2025-12-11,ประชุมสภานักเรียน,present,
26,33,2025-12-11,ประชุมสภานักเรียน,present,
27,34,2025-12-11,ประชุมสภานักเรียน,present,
28,35,2025-12-11,ประชุมสภานักเรียน,present,
29,36,2025-12-11,ประชุมสภานักเรียน,present,
30,37,2025-12-11,ประชุมสภานักเรียน,present,
31,38,2025-12-11,ประชุมสภานักเรียน,present,
32,39,2025-12-11,ประชุมสภานักเรียน,present,
33,43,2025-12-11,ประชุมสภานักเรียน,present,
34,44,2025-12-11,ประชุมสภานักเรียน,present,
35,46,2025-12-11,ประชุมสภานักเรียน,present,
36,47,2025-12-11,ประชุมสภานักเรียน,present,
37,48,2025-12-11,ประชุมสภานักเรียน,present,
38,49,2025-12-11,ประชุมสภานักเรียน,present,
39,51,2025-12-11,ประชุมสภานักเรียน,present,
40,54,2025-12-11,ประชุมสภานักเรียน,present,
41,55,2025-12-11,ประชุมสภานักเรียน,present,
42,56,2025-12-11,ประชุมสภานักเรียน,present,
43,57,2025-12-11,ประชุมสภานักเรียน,present,
44,58,2025-12-11,ประชุมสภานักเรียน,present,
45,59,2025-12-11,ประชุมสภานักเรียน,present,
46,61,2025-12-11,ประชุมสภานักเรียน,present,
47,63,2025-12-11,ประชุมสภานักเรียน,present,
48,65,2025-12-11,ประชุมสภานักเรียน,present,
49,86,2025-12-11,ประชุมสภานักเรียน,present,
50,110,2025-12-11,ประชุมสภานักเรียน,present,
51,111,2025-12-11,ประชุมสภานักเรียน,present,
52,112,2025-12-11,ประชุมสภานักเรียน,present,
53,113,2025-12-11,ประชุมสภานักเรียน,present,
54,114,2025-12-11,ประชุมสภานักเรียน,present,
55,115,2025-12-11,ประชุมสภานักเรียน,present,
56,116,2025-12-11,ประชุมสภานักเรียน,present,
57,117,2025-12-11,ประชุมสภานักเรียน,present,
58,118,2025-12-11,ประชุมสภานักเรียน,present,
59,119,2025-12-11,ประชุมสภานักเรียน,present,
60,124,2025-12-11,ประชุมสภานักเรียน,present,
61,125,2025-12-11,ประชุมสภานักเรียน,present,
62,2,2025-12-03,กิจกรรมแถว,present,
63,3,2025-12-03,กิจกรรมแถว,present,
64,4,2025-12-03,กิจกรรมแถว,present,
65,5,2025-12-03,กิจกรรมแถว,present,
66,6,2025-12-03,กิจกรรมแถว,present,
67,8,2025-12-03,กิจกรรมแถว,present,
68,9,2025-12-03,กิจกรรมแถว,present,
69,10,2025-12-03,กิจกรรมแถว,present,
70,11,2025-12-03,กิจกรรมแถว,present,
71,12,2025-12-03,กิจกรรมแถว,present,
72,13,2025-12-03,กิจกรรมแถว,present,
73,14,2025-12-03,กิจกรรมแถว,present,
74,15,2025-12-03,กิจกรรมแถว,present,
75,16,2025-12-03,กิจกรรมแถว,present,
76,17,2025-12-03,กิจกรรมแถว,present,
77,18,2025-12-03,กิจกรรมแถว,present,
78,19,2025-12-03,กิจกรรมแถว,present,
79,21,2025-12-03,กิจกรรมแถว,present,
80,22,2025-12-03,กิจกรรมแถว,present,
81,25,2025-12-03,กิจกรรมแถว,present,
82,26,2025-12-03,กิจกรรมแถว,present,
83,27,2025-12-03,กิจกรรมแถว,present,
84,28,2025-12-03,กิจกรรมแถว,present,
85,30,2025-12-03,กิจกรรมแถว,present,
86,31,2025-12-03,กิจกรรมแถว,present,
87,33,2025-12-03,กิจกรรมแถว,present,
88,34,2025-12-03,กิจกรรมแถว,present,
89,35,2025-12-03,กิจกรรมแถว,present,
90,36,2025-12-03,กิจกรรมแถว,present,
91,37,2025-12-03,กิจกรรมแถว,present,
92,38,2025-12-03,กิจกรรมแถว,present,
93,39,2025-12-03,กิจกรรมแถว,present,
94,43,2025-12-03,กิจกรรมแถว,absent,
95,44,2025-12-03,กิจกรรมแถว,present,
96,46,2025-12-03,กิจกรรมแถว,present,
97,47,2025-12-03,กิจกรรมแถว,present,
98,48,2025-12-03,กิจกรรมแถว,present,
99,49,2025-12-03,กิจกรรมแถว,present,
100,51,2025-12-03,กิจกรรมแถว,present,
101,54,2025-12-03,กิจกรรมแถว,present,
102,55,2025-12-03,กิจกรรมแถว,present,
103,56,2025-12-03,กิจกรรมแถว,present,
104,57,2025-12-03,กิจกรรมแถว,present,
105,58,2025-12-03,กิจกรรมแถว,present,
106,59,2025-12-03,กิจกรรมแถว,present,
107,61,2025-12-03,กิจกรรมแถว,absent,ลาป่วย
108,63,2025-12-03,กิจกรรมแถว,present,
109,65,2025-12-03,กิจกรรมแถว,present,
110,86,2025-12-03,กิจกรรมแถว,absent,
111,110,2025-12-03,กิจกรรมแถว,present,
112,111,2025-12-03,กิจกรรมแถว,present,
113,112,2025-12-03,กิจกรรมแถว,present,
114,113,2025-12-03,กิจกรรมแถว,present,
115,114,2025-12-03,กิจกรรมแถว,present,
116,115,2025-12-03,กิจกรรมแถว,absent,
117,116,2025-12-03,กิจกรรมแถว,present,
118,117,2025-12-03,กิจกรรมแถว,present,
119,118,2025-12-03,กิจกรรมแถว,present,
120,119,2025-12-03,กิจกรรมแถว,present,
